,query1,query2,size,siamese_distance,average_image_time_query1,average_image_time_query2,patch_retrieval_time,image_comparison_time,total_time
13,DME10,AMD8,"(496, 512)",59.618656158447266,0.07802605628967285,0.07902193069458008,0.001004934310913086,0.11797833442687988,0.19800519943237305
4,DME10,AMD13,"(496, 512)",59.68111038208008,0.07802605628967285,0.07902908325195312,0.00099945068359375,0.11597228050231934,0.1960008144378662
8,DME10,AMD3,"(496, 512)",59.80555725097656,0.07802605628967285,0.10898804664611816,0.001001119613647461,0.11700797080993652,0.22798895835876465
23,DME10,DME4,"(496, 512)",59.80921936035156,0.07802605628967285,0.20699381828308105,0.0010004043579101562,0.1170048713684082,0.3249990940093994
25,DME10,DME6,"(496, 512)",59.82869338989258,0.07802605628967285,0.20700812339782715,0.0009911060333251953,0.11700129508972168,0.325000524520874
17,DME10,DME12,"(496, 512)",59.93122863769531,0.07802605628967285,0.1480104923248291,0.001016855239868164,0.11897587776184082,0.2680032253265381
14,DME10,AMD9,"(496, 512)",59.93876266479492,0.07802605628967285,0.2059948444366455,0.001013040542602539,0.1229863166809082,0.32999420166015625
10,DME10,AMD5,"(496, 512)",59.952388763427734,0.07802605628967285,0.08202862739562988,0.0009970664978027344,0.11898279190063477,0.20200848579406738
1,DME10,AMD10,"(496, 512)",59.96769332885742,0.07802605628967285,0.19603443145751953,0.0009992122650146484,0.11697959899902344,0.3140132427215576
20,DME10,DME15,"(496, 512)",60.02382278442383,0.07802605628967285,0.1569979190826416,0.0010013580322265625,0.11700034141540527,0.2760000228881836
24,DME10,DME5,"(496, 512)",60.160316467285156,0.07802605628967285,0.20901942253112793,0.0009765625,0.11899948120117188,0.3289954662322998
5,DME10,AMD14,"(496, 512)",60.1840705871582,0.07802605628967285,0.19500255584716797,0.0010292530059814453,0.11696815490722656,0.312999963760376
27,DME10,DME8,"(496, 512)",60.27946472167969,0.07802605628967285,0.1550302505493164,0.0009980201721191406,0.11996960639953613,0.2759978771209717
6,DME10,AMD15,"(496, 512)",60.28291702270508,0.07802605628967285,0.10802173614501953,0.0010068416595458984,0.21297121047973633,0.32199978828430176
26,DME10,DME7,"(496, 512)",60.29212188720703,0.07802605628967285,0.15199899673461914,0.0010211467742919922,0.1179802417755127,0.27100038528442383
2,DME10,AMD11,"(496, 512)",60.30397033691406,0.07802605628967285,0.07602119445800781,0.0009644031524658203,0.11500120162963867,0.1919867992401123
15,DME10,DME1,"(496, 512)",60.304466247558594,0.07802605628967285,0.20800137519836426,0.0010211467742919922,0.11797690391540527,0.3269994258880615
9,DME10,AMD4,"(496, 512)",60.317806243896484,0.07802605628967285,0.07800006866455078,0.0009987354278564453,0.11600947380065918,0.19600152969360352
11,DME10,AMD6,"(496, 512)",60.38169860839844,0.07802605628967285,0.07801270484924316,0.0009992122650146484,0.11797809600830078,0.1969900131225586
22,DME10,DME3,"(496, 512)",60.466800689697266,0.07802605628967285,0.208998441696167,0.0010006427764892578,0.11700558662414551,0.32700467109680176
21,DME10,DME2,"(496, 512)",60.52143096923828,0.07802605628967285,0.20799851417541504,0.0009999275207519531,0.12000155448913574,0.32899999618530273
3,DME10,AMD12,"(496, 512)",60.60983657836914,0.07802605628967285,0.07602167129516602,0.00099945068359375,0.11897802352905273,0.1959991455078125
7,DME10,AMD2,"(496, 512)",60.65871047973633,0.07802605628967285,0.10900139808654785,0.0009984970092773438,0.11901211738586426,0.22901201248168945
18,DME10,DME13,"(496, 512)",60.796531677246094,0.07802605628967285,0.14999008178710938,0.0,0.11597776412963867,0.26596784591674805
12,DME10,AMD7,"(496, 512)",60.84343719482422,0.07802605628967285,0.20502805709838867,0.00099945068359375,0.11797308921813965,0.32400059700012207
19,DME10,DME14,"(496, 512)",60.923980712890625,0.07802605628967285,0.14802122116088867,0.00099945068359375,0.11797094345092773,0.26699161529541016
16,DME10,DME11,"(496, 512)",60.9398193359375,0.07802605628967285,0.15599846839904785,0.0009992122650146484,0.11801815032958984,0.27604055404663086
0,DME10,AMD1,"(496, 512)",61.065284729003906,0.07802605628967285,0.10196900367736816,0.0009999275207519531,0.11501002311706543,0.21896958351135254
28,DME10,DME9,"(496, 512)",61.15360641479492,0.07802605628967285,0.1509997844696045,0.0,0.11800146102905273,0.2690012454986572
